2,2010,0,11,100%
4,1991,0,5,100%
5,2009,0,5,100%
7,2003,0,7,100%
7,2010,0,17,100%
7,2009,0,19,100%
7,2004,0,14,100%
7,2007,0,34,100%
7,2001,0,5,100%
7,2006,0,30,100%
7,2005,0,24,100%
7,2002,0,5,100%
10,2008,0,5,100%
11,1994,0,24,42%
11,1994,1,33,57%
11,1995,0,13,100%
11,1993,0,27,100%
11,1991,0,7,100%
11,1990,0,7,100%
11,1992,0,10,100%
11,2003,0,6,100%
11,1999,0,13,100%
11,1998,0,14,100%
11,1996,0,52,100%
12,1993,0,20,100%
12,1992,0,22,100%
12,1994,0,6,100%
12,1998,0,9,100%
12,1990,0,15,100%
12,2007,0,8,72%
12,2007,1,3,27%
12,1999,0,6,40%
12,1999,1,9,60%
12,1996,0,5,100%
12,2009,0,5,100%
12,1997,0,5,100%
12,2008,0,10,100%
12,2010,0,11,100%
12,2003,0,6,75%
12,2003,1,2,25%
12,2006,0,5,100%
12,2002,0,5,100%
12,2000,0,2,50%
12,2000,1,2,50%
13,1993,0,128,68%
13,1993,1,60,31%
13,1990,0,124,61%
13,1990,1,78,38%
13,1998,0,58,100%
13,1999,0,19,100%
13,1996,0,57,40%
13,1996,1,83,59%
13,2003,0,36,85%
13,2003,1,6,14%
13,2007,0,13,81%
13,2007,1,3,18%
13,1994,0,90,51%
13,1994,1,84,48%
13,2008,0,45,100%
13,2005,0,24,57%
13,2005,1,18,42%
13,2002,0,8,61%
13,2002,1,5,38%
13,1995,0,30,63%
13,1995,1,17,36%
13,1992,0,41,100%
13,2009,0,34,100%
13,2001,0,20,100%
13,2010,0,20,100%
13,1991,0,99,69%
13,1991,1,43,30%
13,2004,0,22,70%
13,2004,1,9,29%
13,1997,0,19,47%
13,1997,1,21,52%
13,2006,0,5,100%
13,2000,0,8,100%
14,1991,0,2,100%
14,1990,0,2,100%
14,1992,0,6,100%
14,1994,0,7,17%
14,1994,1,33,82%
14,1993,0,18,100%
14,2007,0,6,100%
14,1996,0,45,100%
14,1995,0,5,100%
14,2002,0,6,100%
15,1991,0,2,100%
16,1991,0,2,100%
16,1993,0,14,100%
16,1994,0,4,100%
17,1991,0,3,50%
17,1991,1,3,50%
17,1990,0,18,100%
17,1992,0,20,86%
17,1992,1,3,13%
17,2002,0,38,79%
17,2002,1,10,20%
17,2006,0,28,100%
17,1993,0,13,100%
