lr,dropout,regularization,temp_pen,optimizer,loss_test,acc_test
0.0100,0.0000,0.0010,0.0100000000,Adam,0.1932,0.1302
0.0200,0.0000,0.0010,0.0100000000,Adam,0.1928,0.1310
0.0050,0.0200,0.0010,0.0100000000,Adam,0.1973,0.1363
0.0100,0.0200,0.0010,0.0100000000,Adam,0.1948,0.1317
0.0200,0.0200,0.0010,0.0100000000,Adam,nan,nan
0.0050,0.0000,0.0020,0.0100000000,Adam,0.2068,0.1429
0.0100,0.0000,0.0020,0.0100000000,Adam,0.1930,0.1337
0.0200,0.0000,0.0020,0.0100000000,Adam,0.1933,0.1315
0.0050,0.0200,0.0020,0.0100000000,Adam,0.2047,0.1383
0.0100,0.0200,0.0020,0.0100000000,Adam,0.1909,0.1319
0.0200,0.0200,0.0020,0.0100000000,Adam,0.1932,0.1320
0.0050,0.0000,0.0005,0.0100000000,Adam,0.1989,0.1372
0.0100,0.0000,0.0005,0.0100000000,Adam,0.1942,0.1326
0.0200,0.0000,0.0005,0.0100000000,Adam,0.1895,0.1305
0.0050,0.0200,0.0005,0.0100000000,Adam,0.2052,0.1412
0.0100,0.0200,0.0005,0.0100000000,Adam,0.1918,0.1310
0.0200,0.0200,0.0005,0.0100000000,Adam,nan,nan
0.0050,0.0000,0.0010,0.1000000000,Adam,0.2234,0.1625
0.0100,0.0000,0.0010,0.1000000000,Adam,0.1921,0.1322
0.0200,0.0000,0.0010,0.1000000000,Adam,0.1878,0.1307
0.0050,0.0200,0.0010,0.1000000000,Adam,0.2744,0.2060
0.0100,0.0200,0.0010,0.1000000000,Adam,0.1903,0.1319
0.0200,0.0200,0.0010,0.1000000000,Adam,0.1941,0.1332
0.0050,0.0000,0.0020,0.1000000000,Adam,0.2137,0.1586
0.0100,0.0000,0.0020,0.1000000000,Adam,0.1928,0.1338
0.0200,0.0000,0.0020,0.1000000000,Adam,0.1957,0.1347
0.0050,0.0200,0.0020,0.1000000000,Adam,0.3172,0.2527
0.0100,0.0200,0.0020,0.1000000000,Adam,0.1904,0.1333
0.0200,0.0200,0.0020,0.1000000000,Adam,0.1882,0.1325
0.0050,0.0000,0.0005,0.1000000000,Adam,0.2197,0.1572
0.0100,0.0000,0.0005,0.1000000000,Adam,0.1906,0.1308
0.0200,0.0000,0.0005,0.1000000000,Adam,0.1924,0.1313
0.0050,0.0200,0.0005,0.1000000000,Adam,0.2041,0.1429
0.0100,0.0200,0.0005,0.1000000000,Adam,0.1916,0.1317
0.0200,0.0200,0.0005,0.1000000000,Adam,0.1870,0.1302
0.0050,0.0000,0.0010,1.0000000000,Adam,1.8571,1.8241
0.0100,0.0000,0.0010,1.0000000000,Adam,1.1765,1.1395
0.0200,0.0000,0.0010,1.0000000000,Adam,0.4875,0.4448
0.0050,0.0200,0.0010,1.0000000000,Adam,1.8586,1.8254
0.0100,0.0200,0.0010,1.0000000000,Adam,1.1727,1.1357
0.0200,0.0200,0.0010,1.0000000000,Adam,0.4916,0.4486
0.0050,0.0000,0.0020,1.0000000000,Adam,1.8532,1.8202
0.0100,0.0000,0.0020,1.0000000000,Adam,1.1818,1.1450
0.0200,0.0000,0.0020,1.0000000000,Adam,0.4923,0.4497
0.0050,0.0200,0.0020,1.0000000000,Adam,1.8589,1.8254
0.0100,0.0200,0.0020,1.0000000000,Adam,1.1828,1.1457
0.0200,0.0200,0.0020,1.0000000000,Adam,0.4965,0.4539
0.0050,0.0000,0.0005,1.0000000000,Adam,1.8562,1.8231
0.0100,0.0000,0.0005,1.0000000000,Adam,1.1760,1.1394
0.0200,0.0000,0.0005,1.0000000000,Adam,0.4843,0.4417
0.0050,0.0200,0.0005,1.0000000000,Adam,1.8570,1.8240
0.0100,0.0200,0.0005,1.0000000000,Adam,1.1799,1.1432
0.0200,0.0200,0.0005,1.0000000000,Adam,0.4893,0.4464
0.0050,0.0000,0.0010,0.0010000000,Adam,0.1939,0.1388
0.0100,0.0000,0.0010,0.0010000000,Adam,0.1863,0.1300
0.0200,0.0000,0.0010,0.0010000000,Adam,nan,nan
0.0050,0.0200,0.0010,0.0010000000,Adam,0.1901,0.1329
0.0100,0.0200,0.0010,0.0010000000,Adam,0.1866,0.1300
0.0200,0.0200,0.0010,0.0010000000,Adam,nan,nan
0.0050,0.0000,0.0020,0.0010000000,Adam,0.1922,0.1364
0.0100,0.0000,0.0020,0.0010000000,Adam,0.1863,0.1309
0.0200,0.0000,0.0020,0.0010000000,Adam,nan,nan
0.0050,0.0200,0.0020,0.0010000000,Adam,0.2096,0.1549
0.0100,0.0200,0.0020,0.0010000000,Adam,0.1872,0.1298
0.0200,0.0200,0.0020,0.0010000000,Adam,nan,nan
0.0050,0.0000,0.0005,0.0010000000,Adam,0.1926,0.1343
0.0100,0.0000,0.0005,0.0010000000,Adam,0.1858,0.1300
0.0200,0.0000,0.0005,0.0010000000,Adam,nan,nan
0.0050,0.0200,0.0005,0.0010000000,Adam,0.1893,0.1315
0.0100,0.0200,0.0005,0.0010000000,Adam,0.1866,0.1287
0.0200,0.0200,0.0005,0.0010000000,Adam,nan,nan
0.0050,0.0000,0.0010,0.0100000000,Adam,0.2027,0.1379
